Rank;Country;Name;Speed Points;Bouldering Points;Lead Points;Total Points
1;FRA;MAWEM Mickael;3.00;1.00;11.00;33.00
2;JPN;NARASAKI Tomoa;2.00;2.00;14.00;56.00
3;USA;DUFFY Colin;6.00;5.00;2.00;60.00
4;AUT;SCHUBERT Jakob;12.00;7.00;1.00;84.00
5;CZE;ONDRA Adam;18.00;3.00;4.00;216.00
6;ESP;GINES LOPEZ Alberto;7.00;14.00;3.00;294.00
7;FRA;MAWEM Bassa;1.00;18.00;20.00;360.00
8;USA;COLEMAN Nathaniel;10.00;11.00;5.00;550.00
9;GER;MEGOS Alexander;19.00;6.00;6.00;684.00
10;KOR;CHON Jongwon;5.00;10.00;16.00;800.00
11;KAZ;KHAIBULLIN Rishat;4.00;17.00;13.00;884.00
12;GER;HOJER Jan;11.00;9.00;9.00;891.00
13;ROC;RUBTSOV Aleksey;16.00;4.00;15.00;960.00
14;CHN;PAN Yufei;20.00;8.00;7.00;1120.00
15;ITA;PICCOLRUAZ Michael;8.00;13.00;12.00;1248.00
16;SA;COSSER Christopher;9.00;16.00;10.00;1440.00
17;CAN;McCOLL Sean;14.00;15.00;8.00;1680.00
18;JPN;HARADA Kai;15.00;12.00;17.00;3060.00
19;ITA;FOSSALI Ludovico;13.00;19.50;18.00;4563.00
20;AUS;OHALLORAN Tom;17.00;19.50;19.00;6298.50
